ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T08:39:12Z	baseline	strat_l23b_gapdrift	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_w": 0.0, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	24.125	-18.979	1.271	18.999	29.218	blind	blind	blind	first entry [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.2 ystd=50.0 robust=1.059 rmin=0.000 noise_sd=0.078]
2026-09-26T08:39:21Z	keep	strat_l23b_gapdrift	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_lb": 2, "gd_vm": 2.0, "gd_w": 0.15, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	25.566	-17.753	1.440	21.563	29.506	blind	blind	blind	beats best on robust by 0.141 > margin 0.098 [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.2 ystd=53.8 robust=1.200 rmin=0.000 noise_sd=0.098]
2026-09-26T08:39:32Z	discard	strat_l23b_gapdrift	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_lb": 2, "gd_vm": 2.0, "gd_w": 0.3, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	25.725	-16.488	1.560	19.415	32.053	blind	blind	blind	TRAIN 1.172 <= best 1.200 + margin 0.134 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.9 ystd=56.3 robust=1.172 rmin=0.000 noise_sd=0.134]
2026-09-26T08:39:44Z	discard	strat_l23b_gapdrift	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_lb": 1, "gd_vm": 2.0, "gd_w": 0.15, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	24.749	-18.643	1.327	20.450	28.990	blind	blind	blind	TRAIN 1.196 <= best 1.200 + margin 0.107 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.9 ystd=54.1 robust=1.196 rmin=0.000 noise_sd=0.107]
2026-09-26T08:39:51Z	discard	strat_l23b_gapdrift	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_lb": 3, "gd_vm": 2.0, "gd_w": 0.15, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	26.123	-17.545	1.489	20.868	31.346	blind	blind	blind	TRAIN 1.212 <= best 1.200 + margin 0.101 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-12.9 ystd=55.7 robust=1.212 rmin=0.000 noise_sd=0.101]
2026-09-26T08:40:10Z	discard	strat_l23b_gapdrift	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_held": false, "gd_lb": 3, "gd_vm": 2.0, "gd_w": 0.15, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	24.942	-17.572	1.419	21.040	28.781	blind	blind	blind	TRAIN 1.194 <= best 1.200 + margin 0.092 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-12.6 ystd=47.1 robust=1.194 rmin=0.000 noise_sd=0.092]
2026-09-26T08:40:22Z	discard	strat_l23b_gapdrift	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.05, "gd_lb": 3, "gd_vm": 3.0, "gd_w": 0.15, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	25.352	-18.610	1.362	20.032	30.645	blind	blind	blind	TRAIN 1.122 <= best 1.200 + margin 0.073 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=53.0 robust=1.122 rmin=0.000 noise_sd=0.073]
2026-09-26T08:40:27Z	discard	strat_l23b_gapdrift	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_lb": 4, "gd_vm": 2.0, "gd_w": 0.15, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	24.769	-17.484	1.417	20.223	29.264	blind	blind	blind	TRAIN 1.169 <= best 1.200 + margin 0.098 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.8 ystd=50.7 robust=1.169 rmin=0.000 noise_sd=0.098]
2026-09-26T08:40:54Z	discard	strat_l23b_ddquality	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "dq_lb": 6, "dq_w": 0.15, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	21.621	-21.090	1.025	14.373	28.959	blind	blind	blind	TRAIN 0.729 <= best 1.200 + margin 0.079 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-18.3 ystd=52.3 robust=0.729 rmin=0.000 noise_sd=0.079]
2026-09-26T08:41:03Z	discard	strat_l23b_ddquality	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "dq_w": 0.0, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	24.125	-18.979	1.271	18.999	29.218	blind	blind	blind	TRAIN 1.059 <= best 1.200 + margin 0.078 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.2 ystd=50.0 robust=1.059 rmin=0.000 noise_sd=0.078]
2026-09-26T08:41:09Z	discard	strat_l23b_ddquality	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "dq_lb": 6, "dq_w": -0.15, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	26.910	-16.525	1.628	21.798	31.984	blind	blind	blind	TRAIN 1.324 <= best 1.200 + margin 0.146 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.4 ystd=55.3 robust=1.324 rmin=0.000 noise_sd=0.146]
2026-09-26T08:41:21Z	discard	strat_l23b_ddquality	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "dq_lb": 12, "dq_w": -0.15, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	26.976	-17.403	1.550	22.767	31.124	blind	blind	blind	TRAIN 1.343 <= best 1.200 + margin 0.155 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.8 ystd=53.6 robust=1.343 rmin=0.000 noise_sd=0.155]
2026-09-26T08:41:25Z	keep	strat_l23b_ddquality	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "dq_lb": 4, "dq_w": -0.15, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	27.286	-16.398	1.664	25.341	29.168	blind	blind	blind	beats best on robust by 0.313 > margin 0.173 [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.4 ystd=53.2 robust=1.513 rmin=0.000 noise_sd=0.173]
2026-09-26T08:41:29Z	discard	strat_l23b_ddquality	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "dq_lb": 8, "dq_w": -0.15, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	28.560	-16.424	1.739	23.430	33.651	blind	blind	blind	TRAIN 1.427 <= best 1.513 + margin 0.153 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.2 ystd=57.3 robust=1.427 rmin=0.000 noise_sd=0.153]
2026-09-26T08:41:41Z	discard	strat_l23b_ddquality	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "dq_lb": 6, "dq_w": -0.3, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	25.375	-17.435	1.455	21.201	29.488	blind	blind	blind	TRAIN 1.204 <= best 1.513 + margin 0.123 [robust] [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.3 ystd=52.2 robust=1.204 rmin=0.000 noise_sd=0.123]
