ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T09:22:46Z	baseline	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	25	24.125	-18.979	1.271	18.999	29.218	blind	blind	blind	first entry [risk:none select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.2 ystd=50.0 robust=1.059 rmin=0.000 noise_sd=0.078]
2026-09-26T09:22:49Z	keep	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18, "top": 15}	15	27.022	-18.768	1.440	25.428	28.560	blind	blind	blind	beats best on robust by 0.339 > margin 0.170 [risk:top=15 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-9.4 ystd=47.5 robust=1.397 rmin=0.000 noise_sd=0.170]
2026-09-26T09:22:51Z	discard	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18, "top": 12}	12	26.943	-19.671	1.370	25.027	28.798	blind	blind	blind	TRAIN 1.406 <= best 1.397 + margin 0.127 [robust] [risk:top=12 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.2 ystd=53.6 robust=1.406 rmin=0.000 noise_sd=0.127]
2026-09-26T09:22:53Z	discard	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18, "top": 18}	18	26.543	-18.513	1.434	23.190	29.825	blind	blind	blind	TRAIN 1.341 <= best 1.397 + margin 0.140 [robust] [risk:top=18 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-10.7 ystd=50.3 robust=1.341 rmin=0.000 noise_sd=0.140]
2026-09-26T09:22:56Z	discard	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18, "top": 15, "weighting": "rank"}	15	25.298	-21.336	1.186	23.659	26.881	blind	blind	blind	TRAIN 1.234 <= best 1.397 + margin 0.117 [robust] [risk:top=15 weighting=rank select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.6 ystd=47.6 robust=1.234 rmin=0.000 noise_sd=0.117]
2026-09-26T09:23:01Z	keep	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18, "top": 15, "weighting": "invvol"}	15	30.001	-17.857	1.680	28.617	31.334	blind	blind	blind	beats best on robust by 0.225 > margin 0.177 [risk:top=15 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-9.2 ystd=54.7 robust=1.623 rmin=0.000 noise_sd=0.177]
2026-09-26T09:23:07Z	discard	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	26.023	-17.715	1.469	20.459	31.568	blind	blind	blind	TRAIN 1.141 <= best 1.623 + margin 0.075 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.4 ystd=55.6 robust=1.141 rmin=0.000 noise_sd=0.075]
2026-09-26T09:23:09Z	discard	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "min_hold": 2, "regime_ma": 18, "top": 15}	15	22.241	-17.991	1.236	19.112	25.302	blind	blind	blind	TRAIN 1.107 <= best 1.623 + margin 0.171 [robust] [risk:top=15 min_hold=2 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-12.3 ystd=38.4 robust=1.107 rmin=0.000 noise_sd=0.171]
2026-09-26T09:23:15Z	discard	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18, "sl_pct": 0.25, "top": 15}	15	24.528	-21.710	1.130	20.695	28.296	blind	blind	blind	TRAIN 0.944 <= best 1.623 + margin 0.166 [robust] [risk:top=15 sl_pct=0.25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.8 ystd=47.7 robust=0.944 rmin=0.000 noise_sd=0.166]
2026-09-26T09:23:20Z	discard	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18, "sl_pct": 0.35, "top": 15}	15	25.477	-20.606	1.236	22.330	28.552	blind	blind	blind	TRAIN 1.097 <= best 1.623 + margin 0.177 [robust] [risk:top=15 sl_pct=0.35 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.3 ystd=47.9 robust=1.097 rmin=0.000 noise_sd=0.177]
