ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T17:26:48Z	baseline	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 9, "am_w": 0.0, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	first entry [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T17:27:12Z	discard	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 9, "am_w": 0.2, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	33.178	-17.546	1.891	32.225	34.093	blind	blind	blind	TRAIN 2.265 <= best 2.121 + margin 0.147 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-17.5 ystd=61.9 robust=2.265 rmin=0.000 noise_sd=0.147]
2026-09-26T17:27:26Z	discard	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 9, "am_w": -0.2, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	28.309	-18.195	1.556	27.176	29.399	blind	blind	blind	TRAIN 2.043 <= best 2.121 + margin 0.137 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.1 ystd=53.8 robust=2.043 rmin=0.000 noise_sd=0.137]
2026-09-26T17:27:38Z	keep	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 9, "am_w": 0.1, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	32.777	-17.083	1.919	33.411	32.176	blind	blind	blind	beats best on robust by 0.404 > margin 0.175 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.0 ystd=58.3 robust=2.525 rmin=0.000 noise_sd=0.175]
2026-09-26T17:27:50Z	discard	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 9, "am_w": -0.1, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	29.918	-18.274	1.637	28.973	30.826	blind	blind	blind	TRAIN 2.231 <= best 2.525 + margin 0.176 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.0 ystd=56.6 robust=2.231 rmin=0.000 noise_sd=0.176]
2026-09-26T17:28:04Z	discard	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 6, "am_w": 0.2, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	33.280	-16.825	1.978	31.280	35.216	blind	blind	blind	TRAIN 2.212 <= best 2.525 + margin 0.200 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.8 ystd=62.8 robust=2.212 rmin=0.000 noise_sd=0.200]
2026-09-26T17:28:17Z	discard	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 12, "am_w": 0.2, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	35.337	-16.695	2.117	33.703	36.913	blind	blind	blind	TRAIN 2.522 <= best 2.525 + margin 0.171 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.7 ystd=68.4 robust=2.522 rmin=0.000 noise_sd=0.171]
2026-09-26T17:28:43Z	discard	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 12, "am_w": 0.15, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	34.126	-17.590	1.940	33.710	34.523	blind	blind	blind	TRAIN 2.496 <= best 2.525 + margin 0.212 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.4 ystd=62.9 robust=2.496 rmin=0.000 noise_sd=0.212]
2026-09-26T17:28:55Z	discard	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 12, "am_w": 0.25, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	34.378	-17.981	1.912	33.002	35.704	blind	blind	blind	TRAIN 2.433 <= best 2.525 + margin 0.185 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-18.0 ystd=64.6 robust=2.433 rmin=0.000 noise_sd=0.185]
2026-09-26T17:29:08Z	discard	strat_l27b2_amihud	{"am_frac": 0.5, "am_lb": 15, "am_w": 0.2, "b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	35.114	-16.216	2.165	34.255	35.938	blind	blind	blind	TRAIN 2.586 <= best 2.525 + margin 0.177 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.0 ystd=64.9 robust=2.586 rmin=0.000 noise_sd=0.177]
