ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T17:43:19Z	baseline	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 3, "cr_min": 20000000.0, "cr_thr": 0.12, "cr_to": 0.0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	first entry [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T17:43:30Z	keep	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 3, "cr_min": 20000000.0, "cr_thr": 0.12, "cr_to": 1.0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	39.182	-17.220	2.275	33.000	45.344	blind	blind	blind	beats best on robust by 0.400 > margin 0.201 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=54.7 robust=2.521 rmin=0.000 noise_sd=0.201]
2026-09-26T17:43:40Z	discard	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 3, "cr_min": 20000000.0, "cr_thr": 0.12, "cr_to": 0.7, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	35.084	-17.220	2.037	30.568	39.536	blind	blind	blind	TRAIN 2.301 <= best 2.521 + margin 0.180 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=54.9 robust=2.301 rmin=0.000 noise_sd=0.180]
2026-09-26T17:43:51Z	discard	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 2, "cr_min": 20000000.0, "cr_thr": 0.08, "cr_to": 1.0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.746	-34.552	0.890	29.501	31.945	blind	blind	blind	TRAIN 2.205 <= best 2.521 + margin 0.149 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-33.8 ystd=59.4 robust=2.205 rmin=-0.605 noise_sd=0.149]
2026-09-26T17:44:01Z	discard	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 6, "cr_min": 20000000.0, "cr_thr": 0.2, "cr_to": 1.0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	32.865	-17.762	1.850	29.758	35.896	blind	blind	blind	TRAIN 2.219 <= best 2.521 + margin 0.170 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.3 robust=2.219 rmin=0.000 noise_sd=0.170]
2026-09-26T17:44:23Z	discard	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 2, "cr_min": 20000000.0, "cr_thr": 0.12, "cr_to": 1.0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	35.935	-17.220	2.087	29.501	42.368	blind	blind	blind	TRAIN 2.205 <= best 2.521 + margin 0.149 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.4 robust=2.205 rmin=0.000 noise_sd=0.149]
2026-09-26T17:44:33Z	discard	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 4, "cr_min": 20000000.0, "cr_thr": 0.12, "cr_to": 1.0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	36.754	-17.191	2.138	29.406	44.147	blind	blind	blind	TRAIN 2.197 <= best 2.521 + margin 0.125 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.7 robust=2.197 rmin=0.380 noise_sd=0.125]
2026-09-26T17:44:43Z	discard	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 3, "cr_min": 20000000.0, "cr_thr": 0.108, "cr_to": 1.0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	37.696	-21.054	1.790	33.383	41.939	blind	blind	blind	TRAIN 2.557 <= best 2.521 + margin 0.151 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=54.3 robust=2.557 rmin=-0.582 noise_sd=0.151]
2026-09-26T17:44:54Z	discard	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 3, "cr_min": 20000000.0, "cr_thr": 0.132, "cr_to": 1.0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	39.182	-17.220	2.275	33.000	45.344	blind	blind	blind	TRAIN 2.521 <= best 2.521 + margin 0.201 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=54.7 robust=2.521 rmin=0.000 noise_sd=0.201]
2026-09-26T17:45:04Z	discard	strat_l27o_corerearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cr_days": 40, "cr_k": 3, "cr_min": 20000000.0, "cr_thr": 0.1, "cr_to": 1.0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	37.660	-21.054	1.789	33.310	41.939	blind	blind	blind	TRAIN 2.550 <= best 2.521 + margin 0.144 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=54.3 robust=2.550 rmin=-0.582 noise_sd=0.144]
