ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T18:35:10Z	baseline	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	first entry [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:36:02Z	discard	strat_l28a_ipofroth	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "ip_cut": 0.0, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.121 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:36:12Z	keep	strat_l28a_ipofroth	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "ip_base": 36, "ip_cut": 0.5, "ip_k": 3, "ip_thr": 2.0, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	23.240	-14.056	1.653	23.990	22.528	blind	blind	blind	beats best on robust by 0.239 > margin 0.160 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=42.6 robust=2.360 rmin=0.000 noise_sd=0.160]
2026-09-26T18:36:22Z	discard	strat_l28a_ipofroth	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "ip_base": 36, "ip_cut": 0.5, "ip_k": 3, "ip_thr": 2.5, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	26.653	-17.253	1.545	21.171	32.111	blind	blind	blind	TRAIN 1.479 <= best 2.360 + margin 0.113 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=57.3 robust=1.479 rmin=0.000 noise_sd=0.113]
2026-09-26T18:36:32Z	discard	strat_l28a_ipofroth	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "ip_base": 36, "ip_cut": 0.5, "ip_k": 6, "ip_thr": 2.0, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	22.934	-14.056	1.632	22.420	23.426	blind	blind	blind	TRAIN 2.180 <= best 2.360 + margin 0.166 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=42.1 robust=2.180 rmin=0.000 noise_sd=0.166]
2026-09-26T18:36:41Z	discard	strat_l28a_ipofroth	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "ip_base": 24, "ip_cut": 0.5, "ip_k": 3, "ip_thr": 2.0, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	25.084	-17.253	1.454	22.661	27.439	blind	blind	blind	TRAIN 2.260 <= best 2.360 + margin 0.152 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=50.1 robust=2.260 rmin=0.000 noise_sd=0.152]
2026-09-26T18:36:50Z	discard	strat_l28a_ipofroth	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "ip_base": 36, "ip_cut": 1.0, "ip_k": 3, "ip_thr": 2.0, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	16.549	-14.056	1.177	20.165	13.202	blind	blind	blind	TRAIN 1.766 <= best 2.360 + margin 0.130 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=36.1 robust=1.766 rmin=0.000 noise_sd=0.130]
2026-09-26T18:37:00Z	discard	strat_l28a_tvsurge	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "tv_cut": 0.0, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:37:09Z	discard	strat_l28a_tvsurge	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "tv_base": 12, "tv_cut": 0.5, "tv_k": 2, "tv_thr": 1.6, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:37:18Z	discard	strat_l28a_tvsurge	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "tv_base": 12, "tv_cut": 0.5, "tv_k": 1, "tv_thr": 1.6, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:37:29Z	discard	strat_l28a_tvsurge	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "tv_base": 12, "tv_cut": 0.5, "tv_k": 3, "tv_thr": 1.4, "weighting": "invvol"}	25	27.537	-17.220	1.599	28.557	26.572	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=52.7 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:37:39Z	discard	strat_l28a_tvsurge	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "tv_base": 12, "tv_cut": 0.5, "tv_k": 2, "tv_thr": 1.8, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:37:48Z	discard	strat_l28a_tvsurge	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "tv_base": 6, "tv_cut": 0.5, "tv_k": 2, "tv_thr": 1.4, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:37:57Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_to": 0.0, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:38:08Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.615, "th_lo": 0.4, "th_span": 10, "th_to": 1.0, "th_win": 21, "top": 25, "weighting": "invvol"}	25	32.044	-17.220	1.861	28.557	35.456	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.6 robust=2.121 rmin=0.219 noise_sd=0.161]
2026-09-26T18:38:19Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.615, "th_lo": 0.4, "th_span": 10, "th_to": 1.0, "th_win": 42, "top": 25, "weighting": "invvol"}	25	32.044	-17.220	1.861	28.557	35.457	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.6 robust=2.121 rmin=0.219 noise_sd=0.161]
2026-09-26T18:38:30Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.6, "th_lo": 0.45, "th_span": 10, "th_to": 1.0, "th_win": 21, "top": 25, "weighting": "invvol"}	25	32.462	-17.220	1.885	28.557	36.295	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.5 robust=2.121 rmin=0.219 noise_sd=0.161]
2026-09-26T18:38:40Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.65, "th_lo": 0.45, "th_span": 10, "th_to": 1.0, "th_win": 42, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:38:50Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.615, "th_lo": 0.4, "th_span": 10, "th_to": 0.7, "th_win": 21, "top": 25, "weighting": "invvol"}	25	31.450	-17.220	1.826	28.557	34.269	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.8 robust=2.121 rmin=0.136 noise_sd=0.161]
2026-09-26T18:41:07Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.6, "th_lo": 0.4, "th_span": 10, "th_to": 1.0, "th_win": 21, "top": 25, "weighting": "invvol"}	25	32.462	-17.220	1.885	28.557	36.295	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.5 robust=2.121 rmin=0.219 noise_sd=0.161]
2026-09-26T18:41:17Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.6, "th_lo": 0.5, "th_span": 10, "th_to": 1.0, "th_win": 21, "top": 25, "weighting": "invvol"}	25	32.462	-17.220	1.885	28.557	36.295	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.5 robust=2.121 rmin=0.219 noise_sd=0.161]
2026-09-26T18:41:27Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.575, "th_lo": 0.45, "th_span": 10, "th_to": 1.0, "th_win": 21, "top": 25, "weighting": "invvol"}	25	32.128	-17.220	1.866	29.225	34.956	blind	blind	blind	TRAIN 2.157 <= best 2.360 + margin 0.163 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.5 robust=2.157 rmin=-0.186 noise_sd=0.163]
2026-09-26T18:41:37Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.615, "th_lo": 0.45, "th_span": 10, "th_to": 1.0, "th_win": 21, "top": 25, "weighting": "invvol"}	25	32.462	-17.220	1.885	28.557	36.295	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.5 robust=2.121 rmin=0.219 noise_sd=0.161]
2026-09-26T18:41:47Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.6, "th_lo": 0.45, "th_span": 10, "th_to": 1.0, "th_win": 42, "top": 25, "weighting": "invvol"}	25	35.400	-17.220	2.056	28.557	42.263	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.4 robust=2.121 rmin=0.219 noise_sd=0.161]
2026-09-26T18:41:57Z	discard	strat_l28a_thrust	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "th_hi": 0.6, "th_lo": 0.45, "th_span": 10, "th_to": 1.0, "th_win": 63, "top": 25, "weighting": "invvol"}	25	33.081	-24.046	1.376	28.557	37.542	blind	blind	blind	TRAIN 2.121 <= best 2.360 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=57.5 robust=2.121 rmin=-0.513 noise_sd=0.161]
