ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T18:54:45Z	baseline	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 1.0, "uv_days": 21, "uv_to": 0.0, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	first entry [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:54:56Z	discard	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 0.0, "uv_days": 21, "uv_hi": 0.62, "uv_lo": 0.46, "uv_to": 0.0, "weighting": "invvol"}	25	30.390	-17.220	1.765	29.167	31.568	blind	blind	blind	TRAIN 2.154 <= best 2.121 + margin 0.164 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-12.1 ystd=56.2 robust=2.154 rmin=0.000 noise_sd=0.164]
2026-09-26T18:55:08Z	discard	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 0.5, "uv_days": 21, "uv_hi": 0.62, "uv_lo": 0.5, "uv_to": 0.0, "weighting": "invvol"}	25	29.535	-17.220	1.715	27.436	31.568	blind	blind	blind	TRAIN 2.044 <= best 2.121 + margin 0.155 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.1 ystd=55.3 robust=2.044 rmin=0.000 noise_sd=0.155]
2026-09-26T18:55:20Z	discard	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 1.0, "uv_days": 21, "uv_hi": 0.6, "uv_lo": 0.46, "uv_to": 1.0, "weighting": "invvol"}	25	30.829	-17.220	1.790	28.317	33.270	blind	blind	blind	TRAIN 2.143 <= best 2.121 + margin 0.149 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.2 ystd=56.1 robust=2.143 rmin=0.219 noise_sd=0.149]
2026-09-26T18:55:32Z	discard	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 0.0, "uv_days": 63, "uv_hi": 0.6, "uv_lo": 0.49, "uv_to": 0.0, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.121 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:55:45Z	discard	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 1.0, "uv_days": 63, "uv_hi": 0.583, "uv_lo": 0.49, "uv_to": 1.0, "weighting": "invvol"}	25	31.686	-17.220	1.840	28.557	34.739	blind	blind	blind	TRAIN 2.121 <= best 2.121 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.9 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:56:16Z	discard	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 1.0, "uv_days": 42, "uv_hi": 0.583, "uv_lo": 0.49, "uv_to": 1.0, "weighting": "invvol"}	25	30.620	-17.927	1.708	28.557	32.618	blind	blind	blind	TRAIN 2.121 <= best 2.121 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-17.5 ystd=56.5 robust=2.121 rmin=-0.520 noise_sd=0.161]
2026-09-26T18:56:26Z	discard	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 1.0, "uv_days": 84, "uv_hi": 0.583, "uv_lo": 0.49, "uv_to": 1.0, "weighting": "invvol"}	25	31.712	-17.220	1.842	28.557	34.793	blind	blind	blind	TRAIN 2.121 <= best 2.121 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.8 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T18:56:37Z	discard	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 1.0, "uv_days": 63, "uv_hi": 0.57, "uv_lo": 0.49, "uv_to": 1.0, "weighting": "invvol"}	25	34.561	-17.191	2.010	30.029	39.029	blind	blind	blind	TRAIN 2.253 <= best 2.121 + margin 0.169 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=55.0 robust=2.253 rmin=0.000 noise_sd=0.169]
2026-09-26T18:57:18Z	discard	strat_l28c_upvol	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "uv_cut": 1.0, "uv_days": 63, "uv_hi": 0.598, "uv_lo": 0.49, "uv_to": 1.0, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.121 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
