ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T20:41:56Z	baseline	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 0, "rr_seed": 1, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	first entry [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T20:42:13Z	keep	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 8, "rr_seed": 1, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	33.373	-18.490	1.805	31.590	35.095	blind	blind	blind	beats best on robust by 0.333 > margin 0.155 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-18.0 ystd=55.7 robust=2.454 rmin=0.000 noise_sd=0.155]
2026-09-26T20:42:22Z	keep	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 8, "rr_seed": 2, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	35.516	-17.191	2.066	35.958	35.095	blind	blind	blind	beats best on robust by 0.379 > margin 0.226 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.4 ystd=54.3 robust=2.833 rmin=0.000 noise_sd=0.226]
2026-09-26T20:42:31Z	discard	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 8, "rr_seed": 3, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	33.438	-18.490	1.808	32.033	34.793	blind	blind	blind	TRAIN 2.451 <= best 2.833 + margin 0.189 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-18.0 ystd=56.7 robust=2.451 rmin=0.000 noise_sd=0.189]
2026-09-26T20:42:40Z	discard	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 8, "rr_seed": 4, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	33.165	-17.220	1.926	30.648	35.610	blind	blind	blind	TRAIN 2.276 <= best 2.833 + margin 0.171 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.1 ystd=56.1 robust=2.276 rmin=0.000 noise_sd=0.171]
2026-09-26T20:42:49Z	discard	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 8, "rr_seed": 5, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	30.992	-17.762	1.745	29.653	32.282	blind	blind	blind	TRAIN 2.230 <= best 2.833 + margin 0.130 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.2 ystd=57.1 robust=2.230 rmin=0.000 noise_sd=0.130]
2026-09-26T20:42:58Z	discard	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 8, "rr_seed": 6, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	35.354	-17.220	2.053	32.225	38.407	blind	blind	blind	TRAIN 2.417 <= best 2.833 + margin 0.152 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.1 ystd=55.1 robust=2.417 rmin=0.000 noise_sd=0.152]
2026-09-26T20:43:06Z	discard	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 8, "rr_seed": 7, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	33.412	-17.762	1.881	31.145	35.610	blind	blind	blind	TRAIN 2.305 <= best 2.833 + margin 0.171 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-11.3 ystd=54.8 robust=2.305 rmin=0.000 noise_sd=0.171]
2026-09-26T20:43:16Z	discard	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 8, "rr_seed": 8, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	31.613	-18.490	1.710	28.058	35.095	blind	blind	blind	TRAIN 2.088 <= best 2.833 + margin 0.120 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-18.0 ystd=57.3 robust=2.088 rmin=0.000 noise_sd=0.120]
2026-09-26T20:43:24Z	discard	strat_l29d_randrearm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_mode": "months", "rr_n": 8, "rr_seed": 9, "rr_to": 1.0, "top": 25, "weighting": "invvol"}	25	32.407	-17.791	1.822	29.129	35.610	blind	blind	blind	TRAIN 2.156 <= best 2.833 + margin 0.169 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.1 ystd=55.8 robust=2.156 rmin=0.000 noise_sd=0.169]
