ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T20:46:33Z	baseline	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 5, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.144	-17.259	1.747	28.125	32.099	blind	blind	blind	first entry [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=57.3 robust=2.088 rmin=0.000 noise_sd=0.143]
2026-09-26T20:46:47Z	keep	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 8, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	32.365	-17.876	1.811	30.102	34.560	blind	blind	blind	beats best on robust by 0.225 > margin 0.176 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.2 ystd=62.7 robust=2.312 rmin=0.000 noise_sd=0.176]
2026-09-26T20:46:57Z	discard	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 12, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.251	-16.634	1.819	28.181	32.256	blind	blind	blind	TRAIN 2.194 <= best 2.312 + margin 0.173 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.5 ystd=60.7 robust=2.194 rmin=0.000 noise_sd=0.173]
2026-09-26T20:47:13Z	keep	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 15, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	35.577	-16.209	2.195	33.034	38.047	blind	blind	blind	beats best on robust by 0.688 > margin 0.220 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-9.7 ystd=69.1 robust=3.001 rmin=0.000 noise_sd=0.220]
2026-09-26T20:47:29Z	discard	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 16, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	35.803	-15.415	2.323	34.551	37.008	blind	blind	blind	TRAIN 3.170 <= best 3.001 + margin 0.247 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-9.6 ystd=68.7 robust=3.170 rmin=0.000 noise_sd=0.247]
2026-09-26T20:47:45Z	discard	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 14, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	32.483	-16.236	2.001	29.482	35.410	blind	blind	blind	TRAIN 2.595 <= best 3.001 + margin 0.166 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-12.6 ystd=64.9 robust=2.595 rmin=0.000 noise_sd=0.166]
2026-09-26T20:48:00Z	discard	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 25, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.047	-11.533	2.605	25.414	34.623	blind	blind	blind	TRAIN 2.574 <= best 3.001 + margin 0.254 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-7.0 ystd=55.8 robust=2.574 rmin=0.000 noise_sd=0.254]
2026-09-26T20:48:14Z	discard	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 18, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	32.968	-16.537	1.994	31.425	34.456	blind	blind	blind	TRAIN 2.973 <= best 3.001 + margin 0.232 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-9.1 ystd=62.4 robust=2.973 rmin=0.000 noise_sd=0.232]
2026-09-26T20:48:29Z	discard	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 0, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 3.001 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T20:48:42Z	keep	strat_l29e_coresat	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "cs_k": 17, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	36.022	-16.203	2.223	34.770	37.227	blind	blind	blind	beats best on robust by 0.319 > margin 0.289 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-9.6 ystd=68.5 robust=3.319 rmin=0.000 noise_sd=0.289]
