ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T20:46:46Z	baseline	strat_l29f_fallcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "fc_cut": 0.0, "fc_drop": 0.0, "fc_look": 1, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	25.657	-15.654	1.639	19.743	31.568	blind	blind	blind	first entry [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.0 ystd=56.3 robust=1.456 rmin=0.000 noise_sd=0.127]
2026-09-26T20:47:04Z	keep	strat_l29f_fallcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "fc_cut": 0.5, "fc_drop": 0.0, "fc_look": 1, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	27.728	-16.588	1.672	23.821	31.568	blind	blind	blind	beats best on robust by 0.301 > margin 0.135 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.4 ystd=56.3 robust=1.757 rmin=0.000 noise_sd=0.135]
2026-09-26T20:47:18Z	discard	strat_l29f_fallcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "fc_cut": 0.0, "fc_drop": 0.0, "fc_look": 2, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	26.711	-15.654	1.706	21.810	31.568	blind	blind	blind	TRAIN 1.584 <= best 1.757 + margin 0.142 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-10.3 ystd=55.5 robust=1.584 rmin=0.000 noise_sd=0.142]
2026-09-26T20:47:38Z	discard	strat_l29f_fallcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "fc_cut": 0.5, "fc_drop": 0.0, "fc_look": 2, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	28.187	-16.588	1.699	24.735	31.568	blind	blind	blind	TRAIN 1.809 <= best 1.757 + margin 0.137 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-12.2 ystd=56.0 robust=1.809 rmin=0.000 noise_sd=0.137]
2026-09-26T20:47:55Z	discard	strat_l29f_fallcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "fc_cut": 0.5, "fc_drop": 0.0, "fc_look": 3, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	28.155	-16.554	1.701	24.670	31.568	blind	blind	blind	TRAIN 1.804 <= best 1.757 + margin 0.133 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-12.2 ystd=55.4 robust=1.804 rmin=0.000 noise_sd=0.133]
2026-09-26T20:48:12Z	discard	strat_l29f_fallcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "fc_cut": 0.0, "fc_drop": 0.0, "fc_look": 3, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	26.969	-16.550	1.630	22.318	31.568	blind	blind	blind	TRAIN 1.360 <= best 1.757 + margin 0.093 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-9.9 ystd=54.4 robust=1.360 rmin=0.000 noise_sd=0.093]
2026-09-26T20:48:29Z	discard	strat_l29f_fallcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "fc_cut": 0.5, "fc_drop": 0.02, "fc_look": 2, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	27.728	-16.588	1.672	23.821	31.568	blind	blind	blind	TRAIN 1.757 <= best 1.757 + margin 0.135 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.4 ystd=56.3 robust=1.757 rmin=0.000 noise_sd=0.135]
2026-09-26T20:48:43Z	keep	strat_l29f_randcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "rc_cut": 0.5, "rc_n": 8, "rc_seed": 1, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	28.627	-16.554	1.729	26.881	30.315	blind	blind	blind	beats best on robust by 0.194 > margin 0.137 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-10.5 ystd=56.1 robust=1.951 rmin=0.000 noise_sd=0.137]
2026-09-26T20:48:57Z	discard	strat_l29f_randcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "rc_cut": 0.5, "rc_n": 8, "rc_seed": 2, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	26.771	-17.253	1.552	23.159	30.315	blind	blind	blind	TRAIN 1.626 <= best 1.951 + margin 0.124 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-12.6 ystd=57.5 robust=1.626 rmin=0.000 noise_sd=0.124]
2026-09-26T20:49:11Z	discard	strat_l29f_randcut	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "rc_cut": 0.5, "rc_n": 8, "rc_seed": 3, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	26.932	-17.253	1.561	23.378	30.417	blind	blind	blind	TRAIN 1.656 <= best 1.951 + margin 0.127 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-10.5 ystd=56.1 robust=1.656 rmin=0.000 noise_sd=0.127]
