ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T20:51:26Z	baseline	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 1, "top": 25, "weighting": "invvol"}	25	32.244	-16.504	1.954	30.490	33.939	blind	blind	blind	first entry [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.8 ystd=62.2 robust=2.137 rmin=0.000 noise_sd=0.139]
2026-09-26T20:51:35Z	discard	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 2, "top": 25, "weighting": "invvol"}	25	25.858	-17.991	1.437	22.609	29.036	blind	blind	blind	TRAIN 1.592 <= best 2.137 + margin 0.135 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-9.7 ystd=55.0 robust=1.592 rmin=0.000 noise_sd=0.135]
2026-09-26T20:51:45Z	keep	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 3, "top": 25, "weighting": "invvol"}	25	31.038	-15.291	2.030	32.170	29.968	blind	blind	blind	beats best on robust by 0.313 > margin 0.193 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-10.6 ystd=51.2 robust=2.450 rmin=0.000 noise_sd=0.193]
2026-09-26T20:51:53Z	discard	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 4, "top": 25, "weighting": "invvol"}	25	26.806	-17.927	1.495	27.606	26.048	blind	blind	blind	TRAIN 2.086 <= best 2.450 + margin 0.152 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.5 ystd=41.6 robust=2.086 rmin=0.000 noise_sd=0.152]
2026-09-26T20:52:02Z	discard	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 5, "top": 25, "weighting": "invvol"}	25	32.901	-16.591	1.983	32.145	33.627	blind	blind	blind	TRAIN 2.541 <= best 2.450 + margin 0.167 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.6 ystd=57.9 robust=2.541 rmin=0.000 noise_sd=0.167]
2026-09-26T20:52:11Z	discard	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 6, "top": 25, "weighting": "invvol"}	25	30.303	-17.704	1.712	31.153	29.498	blind	blind	blind	TRAIN 2.291 <= best 2.450 + margin 0.169 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-17.7 ystd=54.0 robust=2.291 rmin=0.000 noise_sd=0.169]
2026-09-26T20:52:19Z	discard	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 7, "top": 25, "weighting": "invvol"}	25	28.981	-17.415	1.664	34.758	23.703	blind	blind	blind	TRAIN 2.275 <= best 2.450 + margin 0.167 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-10.7 ystd=52.6 robust=2.275 rmin=0.000 noise_sd=0.167]
2026-09-26T20:52:28Z	discard	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 8, "top": 25, "weighting": "invvol"}	25	30.549	-15.870	1.925	29.357	31.696	blind	blind	blind	TRAIN 2.492 <= best 2.450 + margin 0.181 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-11.5 ystd=55.4 robust=2.492 rmin=0.000 noise_sd=0.181]
2026-09-26T20:52:38Z	discard	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 9, "top": 25, "weighting": "invvol"}	25	29.473	-17.833	1.653	25.144	33.740	blind	blind	blind	TRAIN 2.075 <= best 2.450 + margin 0.216 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.8 ystd=61.3 robust=2.075 rmin=0.000 noise_sd=0.216]
2026-09-26T20:52:46Z	discard	strat_l29h_randres	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "rr_k": 17, "rr_seed": 10, "top": 25, "weighting": "invvol"}	25	25.099	-21.173	1.185	23.297	26.841	blind	blind	blind	TRAIN 2.184 <= best 2.450 + margin 0.190 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-20.5 ystd=53.9 robust=2.184 rmin=0.000 noise_sd=0.190]
