ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T20:53:56Z	baseline	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_cut": 0.5, "ni_mode": "cut", "ni_n": 0, "ni_seed": 1, "regime_ma": 24, "top": 25}	25	32.763	-11.440	2.864	32.776	32.751	blind	blind	blind	first entry [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-5.1 ystd=54.2 robust=3.540 rmin=-0.413 noise_sd=0.287]
2026-09-26T20:54:05Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_mode": "tilt", "ni_seed": 1, "ni_w": 0.15, "regime_ma": 24, "top": 25}	25	32.814	-13.014	2.521	31.319	34.256	blind	blind	blind	TRAIN 3.201 <= best 3.540 + margin 0.216 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-5.2 ystd=57.0 robust=3.201 rmin=-0.415 noise_sd=0.216]
2026-09-26T20:54:07Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_mode": "tilt", "ni_seed": 2, "ni_w": 0.15, "regime_ma": 24, "top": 25}	25	33.246	-12.153	2.736	31.486	34.947	blind	blind	blind	TRAIN 3.265 <= best 3.540 + margin 0.217 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-6.9 ystd=58.7 robust=3.265 rmin=-0.420 noise_sd=0.217]
2026-09-26T20:54:08Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_mode": "tilt", "ni_seed": 3, "ni_w": 0.15, "regime_ma": 24, "top": 25}	25	34.752	-11.777	2.951	33.322	36.129	blind	blind	blind	TRAIN 3.558 <= best 3.540 + margin 0.239 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-5.9 ystd=59.4 robust=3.558 rmin=-0.424 noise_sd=0.239]
2026-09-26T20:54:09Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_mode": "tilt", "ni_seed": 4, "ni_w": 0.15, "regime_ma": 24, "top": 25}	25	30.493	-11.712	2.604	29.046	31.888	blind	blind	blind	TRAIN 2.965 <= best 3.540 + margin 0.210 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-6.7 ystd=52.4 robust=2.965 rmin=-0.429 noise_sd=0.210]
2026-09-26T20:54:10Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_mode": "tilt", "ni_seed": 5, "ni_w": 0.15, "regime_ma": 24, "top": 25}	25	32.562	-11.384	2.860	32.719	32.412	blind	blind	blind	TRAIN 3.533 <= best 3.540 + margin 0.203 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-6.9 ystd=57.7 robust=3.533 rmin=-0.426 noise_sd=0.203]
2026-09-26T20:54:12Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_mode": "tilt", "ni_seed": 6, "ni_w": 0.15, "regime_ma": 24, "top": 25}	25	30.634	-11.593	2.643	29.646	31.583	blind	blind	blind	TRAIN 3.305 <= best 3.540 + margin 0.217 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-8.6 ystd=54.1 robust=3.305 rmin=-0.408 noise_sd=0.217]
2026-09-26T20:54:13Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_mode": "tilt", "ni_seed": 7, "ni_w": 0.15, "regime_ma": 24, "top": 25}	25	31.580	-12.435	2.540	30.418	32.697	blind	blind	blind	TRAIN 3.308 <= best 3.540 + margin 0.262 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-6.1 ystd=53.3 robust=3.308 rmin=-0.419 noise_sd=0.262]
2026-09-26T20:54:14Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_mode": "tilt", "ni_seed": 8, "ni_w": 0.15, "regime_ma": 24, "top": 25}	25	32.233	-11.985	2.689	29.461	34.930	blind	blind	blind	TRAIN 2.996 <= best 3.540 + margin 0.204 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-7.7 ystd=59.5 robust=2.996 rmin=-0.399 noise_sd=0.204]
2026-09-26T20:54:15Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_cut": 0.5, "ni_mode": "cut", "ni_n": 5, "ni_seed": 1, "regime_ma": 24, "top": 25}	25	33.208	-10.503	3.162	32.452	33.934	blind	blind	blind	TRAIN 3.666 <= best 3.540 + margin 0.286 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-1.9 ystd=52.8 robust=3.666 rmin=-0.188 noise_sd=0.286]
2026-09-26T20:54:17Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_cut": 0.5, "ni_mode": "cut", "ni_n": 5, "ni_seed": 2, "regime_ma": 24, "top": 25}	25	31.665	-12.126	2.611	31.012	32.291	blind	blind	blind	TRAIN 3.289 <= best 3.540 + margin 0.270 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-6.3 ystd=53.9 robust=3.289 rmin=-0.511 noise_sd=0.270]
2026-09-26T20:54:18Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_cut": 0.5, "ni_mode": "cut", "ni_n": 5, "ni_seed": 3, "regime_ma": 24, "top": 25}	25	31.589	-12.126	2.605	31.838	31.351	blind	blind	blind	TRAIN 3.418 <= best 3.540 + margin 0.280 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-6.3 ystd=54.8 robust=3.418 rmin=-0.511 noise_sd=0.280]
2026-09-26T20:54:19Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_cut": 0.5, "ni_mode": "cut", "ni_n": 5, "ni_seed": 4, "regime_ma": 24, "top": 25}	25	31.812	-11.440	2.781	33.199	30.503	blind	blind	blind	TRAIN 3.540 <= best 3.540 + margin 0.288 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-5.2 ystd=54.6 robust=3.540 rmin=-0.418 noise_sd=0.288]
2026-09-26T20:54:21Z	discard	strat_l29i_n500null	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "ni_cut": 0.5, "ni_mode": "cut", "ni_n": 5, "ni_seed": 5, "regime_ma": 24, "top": 25}	25	32.222	-11.440	2.817	33.199	31.297	blind	blind	blind	TRAIN 3.579 <= best 3.540 + margin 0.289 [robust] [risk:top=25 select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-5.3 ystd=54.4 robust=3.579 rmin=-0.513 noise_sd=0.289]
