ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-15T03:17:15Z	baseline	strat_floorhigh	{"floor_lb": 24, "lookback": 15, "max_dist": 0.07, "regime_ma": 6, "weak_exp": 0.4}	25	33.906	-33.991	0.998	24.895	43.103	34.380	-21.442	19.528	first entry [risk:none select:cagr]
2026-09-15T03:17:17Z	keep	strat_floorhigh	{"floor_lb": 24, "lookback": 15, "max_dist": 0.1, "regime_ma": 6, "weak_exp": 0.4}	25	34.281	-34.632	0.990	24.405	44.426	32.456	-22.418	19.528	beats best on cagr [risk:none select:cagr]
2026-09-15T03:17:19Z	discard	strat_floorlift	{"max_hold": 12, "weak_exp": 0.4}	25	32.480	-28.526	1.139	22.412	42.849	28.257	-19.215	19.528	TRAIN 32.48% <= best 34.28% [cagr] [risk:max_hold=12 select:cagr]
2026-09-15T03:17:21Z	discard	strat_floorlift	{"weak_exp": 0.4}	25	33.566	-29.385	1.142	23.078	44.397	27.189	-19.414	19.528	TRAIN 33.57% <= best 34.28% [cagr] [risk:none select:cagr]
2026-09-15T03:17:25Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.05}	25	14.196	-26.301	0.540	6.971	21.539	25.478	-11.232	19.528	TRAIN 14.20% <= best 34.28% [cagr] [risk:trail_k=0.05 select:cagr]
2026-09-15T03:17:47Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 15, "max_dist": 0.07, "regime_ma": 10, "weak_exp": 0.4}	25	32.947	-45.598	0.723	32.779	33.108	37.550	-20.601	19.528	TRAIN 32.95% <= best 34.28% [cagr] [risk:none select:cagr]
2026-09-15T03:28:34Z	discard	strat_floorhigh	{"floor_lb": 18, "lookback": 15, "max_dist": 0.07, "regime_ma": 10, "weak_exp": 0.4}	25	31.316	-47.879	0.654	34.069	28.743	30.332	-23.681	19.528	TRAIN 31.32% <= best 34.28% [cagr] [risk:none select:cagr]
2026-09-15T03:28:36Z	discard	strat_floorhightier	{"floor_lb": 18, "lookback": 15, "max_dist": 0.07, "regime_ma": 10}	25	33.459	-35.005	0.956	30.642	36.201	27.095	-16.013	19.528	TRAIN 33.46% <= best 34.28% [cagr] [risk:none select:cagr]
2026-09-15T03:28:42Z	discard	strat_floorhigh	{"floor_lb": 12, "lookback": 15, "max_dist": 0.07, "regime_ma": 10, "weak_exp": 0.4}	25	33.362	-38.595	0.864	33.827	32.919	30.165	-20.223	19.528	TRAIN 33.36% <= best 34.28% [cagr] [risk:none select:cagr]
2026-09-15T03:29:51Z	discard	strat_floorhigh	{"floor_lb": 18, "lookback": 15, "max_dist": 0.03, "regime_ma": 10, "weak_exp": 0.4}	25	29.914	-46.672	0.641	33.790	26.323	28.734	-22.901	19.528	TRAIN 29.91% <= best 34.28% [cagr] [risk:none select:cagr]
2026-09-15T03:29:53Z	discard	strat_floorhightier	{"floor_lb": 18, "lookback": 15, "max_dist": 0.03, "regime_ma": 10}	25	31.659	-33.952	0.932	29.412	33.838	26.964	-13.960	19.528	TRAIN 31.66% <= best 34.28% [cagr] [risk:none select:cagr]
