timestamp	commit	strategy_sha	score	train_sharpe	val_sharpe	train_cagr	val_cagr	train_dd	val_dd	exposure	turns_per_year	trades	cost_bps	universe	note
2026-09-09T09:06:14Z	119b205	6c8c24fa3a9f	0.7677	0.7677	1.5705	16.60	39.35	-66.64	-37.73	0.945	4.64	1563	25	nifty500	baseline: EMA 20/100 trend, top 25 by 126d return, 21-session rebalance
2026-09-09T09:09:51Z	7ef126c	fc24774e1ead	0.6829	0.6829	1.5069	13.86	37.41	-66.25	-38.48	0.938	4.85	1618	25	nifty500	rank on momentum skipping the most recent 21 sessions
2026-09-09T10:53:49Z	2a13ab5	4cd9a3d5b85b	0.7653	0.7653	1.5358	15.46	36.44	-59.86	-35.89	0.897	4.74	1581	25	nifty500	iter 1: sticky daily exit when the name's own EMA trend breaks
2026-09-09T10:54:14Z	2a13ab5	4458f2c3171c	0.9770	0.9770	1.7870	19.49	36.55	-38.59	-21.59	0.668	6.25	2139	25	nifty500	iter 2: cash while the equal-weight index is below its 200-session average
2026-09-09T10:54:31Z	24e07b6	01a577713d95	1.2014	1.2014	1.9235	22.35	37.42	-27.27	-27.74	0.625	6.64	2268	25	nifty500	iter 3: regime average 100 sessions instead of 200
2026-09-09T10:54:43Z	9e70eb6	0118bf8db965	1.2410	1.2410	1.9829	21.42	36.76	-27.38	-18.96	0.628	8.25	2828	25	nifty500	iter 4: regime average 50 sessions
2026-09-09T10:54:59Z	7674fde	45cb7e286311	1.5204	1.5204	2.2124	24.74	38.71	-17.65	-11.39	0.607	10.43	3602	25	nifty500	iter 5: regime average 30 sessions
2026-09-09T10:55:17Z	3f9d807	684eb27507d1	1.4033	1.4033	1.9986	22.25	31.90	-28.34	-11.79	0.581	15.06	5207	25	nifty500	iter 6: regime average 15 sessions
2026-09-09T10:55:32Z	3f9d807	fc10e314d4ca	1.3895	1.3895	2.0305	23.51	36.75	-19.45	-13.46	0.616	8.86	3043	25	nifty500	iter 7: regime average 40 sessions, mapping the shape of the peak at 30
2026-09-09T10:55:59Z	3f9d807	a3b69ccaad47	1.0645	1.0645	1.8266	17.45	31.85	-24.40	-16.79	0.612	7.14	2438	25	nifty500	iter 8: regime switch needs 3 consecutive sessions to flip
2026-09-09T10:56:21Z	3f9d807	d31f78d98ddb	1.3869	1.3869	2.2651	21.69	38.61	-17.69	-11.22	0.576	10.20	3391	25	nifty500	iter 9: inverse-volatility sizing instead of equal weight
2026-09-09T10:56:38Z	3f9d807	e87d8ba91e29	1.3723	1.3723	2.0751	20.49	33.05	-15.62	-11.14	0.598	10.08	5543	25	nifty500	iter 10: 40 slots instead of 25
2026-09-09T10:56:49Z	3f9d807	d43b9c7c4201	1.5186	1.5186	2.3229	26.59	45.38	-19.75	-12.13	0.616	10.95	2276	25	nifty500	iter 11: 15 slots instead of 25
2026-09-09T10:57:02Z	3f9d807	a7a51ecea257	1.4232	1.4232	2.4833	20.29	41.84	-18.33	-10.01	0.612	10.17	3502	25	nifty500	iter 12: rank on 252-session return instead of 126
2026-09-09T10:57:13Z	3f9d807	a4ba6133adb7	1.3319	1.3319	1.9405	22.54	33.42	-16.51	-13.83	0.607	11.56	4006	25	nifty500	iter 13: rank on 63-session return instead of 126
2026-09-09T10:57:24Z	3f9d807	7f4794f6520f	1.4392	1.4392	2.0609	21.78	35.11	-15.50	-10.69	0.608	10.42	3595	25	nifty500	iter 14: trend filter EMA 50/200 instead of 20/100
2026-09-09T10:57:36Z	3f9d807	c43e54902db8	1.4929	1.4929	2.2124	25.30	38.82	-18.50	-11.95	0.623	10.73	3717	25	nifty500	iter 15: drop the per-name EMA trend filter entirely
2026-09-09T10:57:50Z	3f9d807	0614c2ccd9f4	1.3903	1.3903	2.3378	23.23	41.64	-21.59	-11.67	0.623	12.15	4165	25	nifty500	iter 16: rebalance every 10 sessions instead of 21
2026-09-09T10:58:01Z	3f9d807	475b7bf9cf46	1.4436	1.4436	2.3053	22.91	40.69	-15.94	-11.33	0.611	9.87	3438	25	nifty500	iter 17: rebalance every 42 sessions instead of 21
2026-09-09T10:58:16Z	3f9d807	64c13efacd41	1.4554	1.4554	2.2124	23.29	38.71	-17.43	-11.39	0.602	10.33	3562	25	nifty500	iter 18: require the name's own 126-session return to be positive
2026-09-09T10:58:33Z	3f9d807	b6076ca613b4	1.3725	1.3725	2.2891	18.92	36.85	-17.71	-11.56	0.542	9.62	3273	25	nifty500	iter 19: rank on return per unit of volatility
2026-09-09T10:59:09Z	3f9d807	6273f098b731	1.5582	1.5582	2.3618	22.04	34.38	-14.88	-9.39	0.519	9.00	3071	25	nifty500	iter 20: trailing stop 15% below the name's 63-session high
2026-09-09T10:59:25Z	cce29b9	1b1abc48f2db	1.3336	1.3336	2.1633	14.46	24.31	-14.85	-7.12	0.411	7.68	2612	25	nifty500	iter 21: trailing stop at 10% instead of 15%
2026-09-09T10:59:36Z	cce29b9	fc9b1c1fac47	1.5776	1.5776	2.1867	24.53	34.47	-16.41	-10.76	0.566	9.74	3343	25	nifty500	iter 22: trailing stop at 20% instead of 15%
