symbol,yahoo_ticker,company_name,series,isin,listing_date,face_value,industry,in_nifty50,in_niftynext50,in_nifty100,in_nifty200,in_nifty500,in_niftymidcap150,in_niftysmallcap250
20MICRONS,20MICRONS.NS,20 Microns Limited,EQ,INE144J01027,2008-10-06,5.0,,false,false,false,false,false,false,false
21STCENMGM,21STCENMGM.NS,21st Century Management Services Limited,EQ,INE253B01015,1995-05-03,10.0,,false,false,false,false,false,false,false
360ONE,360ONE.NS,360 ONE WAM LIMITED,EQ,INE466L01038,2019-09-19,1.0,Financial Services,false,false,false,true,true,true,false
3BBLACKBIO,3BBLACKBIO.NS,3B Blackbio Dx Limited,EQ,INE994E01018,2026-04-20,10.0,,false,false,false,false,false,false,false
3IINFOLTD,3IINFOLTD.NS,3i Infotech Limited,BE,INE748C01038,2021-10-22,10.0,,false,false,false,false,false,false,false
3MINDIA,3MINDIA.NS,3M India Limited,EQ,INE470A01017,2004-08-13,10.0,Diversified,false,false,false,false,true,true,false
3PLAND,3PLAND.NS,3P Land Holdings Limited,EQ,INE105C01023,1995-07-19,2.0,,false,false,false,false,false,false,false
5PAISA,5PAISA.NS,5Paisa Capital Limited,EQ,INE618L01018,2017-11-16,10.0,,false,false,false,false,false,false,false
63MOONS,63MOONS.NS,63 moons technologies limited,EQ,INE111B01023,2005-06-20,2.0,,false,false,false,false,false,false,false
A2ZINFRA,A2ZINFRA.NS,A2Z Infra Engineering Limited,EQ,INE619I01012,2010-12-23,10.0,,false,false,false,false,false,false,false
AAATECH,AAATECH.NS,AAA Technologies Limited,EQ,INE0D0U01013,2022-11-28,10.0,,false,false,false,false,false,false,false
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited,EQ,INE883F01010,2024-05-15,10.0,Financial Services,false,false,false,false,true,false,true
AAKASH,AAKASH.NS,Aakash Exploration Services Limited,EQ,INE087Z01024,2020-09-29,1.0,,false,false,false,false,false,false,false
AAREYDRUGS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,EQ,INE198H01019,2021-08-06,10.0,,false,false,false,false,false,false,false
AARNAV,AARNAV.NS,Aarnav Fashions Limited,BE,INE750R01016,2026-02-25,10.0,,false,false,false,false,false,false,false
AARON,AARON.NS,Aaron Industries Limited,EQ,INE721Z01010,2020-11-06,10.0,,false,false,false,false,false,false,false
AARTECH,AARTECH.NS,Aartech Solonics Limited,BE,INE01C001026,2023-07-10,5.0,,false,false,false,false,false,false,false
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,EQ,INE767A01016,2003-09-19,10.0,,false,false,false,false,false,false,false
AARTIIND,AARTIIND.NS,Aarti Industries Limited,EQ,INE769A01020,1995-02-08,5.0,Chemicals,false,false,false,false,true,false,true
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,INE0LRU01027,2023-01-30,5.0,,false,false,false,false,false,false,false
AARTISURF,AARTISURF.NS,Aarti Surfactants Limited,BE,INE09EO01013,2020-07-14,10.0,,false,false,false,false,false,false,false
AARVI,AARVI.NS,Aarvi Encon Limited,EQ,INE754X01016,2020-06-24,10.0,,false,false,false,false,false,false,false
AASTHA,AASTHA.NS,Aastha Spintex Limited,EQ,INE2FMX01012,2026-07-06,10.0,,false,false,false,false,false,false,false
AAVAS,AAVAS.NS,Aavas Financiers Limited,EQ,INE216P01012,2018-10-08,10.0,Financial Services,false,false,false,false,true,false,true
ABAN,ABAN.NS,Aban Offshore Limited,BE,INE421A01028,1995-03-29,2.0,,false,false,false,false,false,false,false
ABANSENT,ABANSENT.NS,Abans Enterprises Limited,EQ,INE365O01028,2026-04-20,2.0,,false,false,false,false,false,false,false
ABB,ABB.NS,ABB India Limited,EQ,INE117A01022,1995-02-08,2.0,Capital Goods,false,true,true,true,true,false,false
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,EQ,INE358A01014,2010-01-08,10.0,Healthcare,false,false,false,false,true,true,false
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,EQ,INE674K01013,2017-09-01,10.0,Financial Services,false,false,false,true,true,true,false
ABCOTS,ABCOTS.NS,A B Cotspin India Limited,EQ,INE08PH01015,2025-09-24,10.0,,false,false,false,false,false,false,false
ABDL,ABDL.NS,Allied Blenders and Distillers Limited,EQ,INE552Z01027,2024-07-02,2.0,Fast Moving Consumer Goods,false,false,false,false,true,false,true
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,INE647O01011,2013-07-17,10.0,Consumer Services,false,false,false,false,true,false,true
ABINFRA,ABINFRA.NS,A B Infrabuild Limited,BE,INE00YB01025,2024-11-08,1.0,,false,false,false,false,false,false,false
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Limited,EQ,INE14LE01019,2025-06-23,10.0,Consumer Services,false,false,false,false,true,false,true
ABMINTLLTD,ABMINTLLTD.NS,ABM International Limited,BE,INE251C01025,2021-09-09,10.0,,false,false,false,false,false,false,false
ABMKNO,ABMKNO.NS,ABM Knowledgeware Limited,EQ,INE850B01026,2026-04-20,5.0,,false,false,false,false,false,false,false
ABREL,ABREL.NS,Aditya Birla Real Estate Limited,EQ,INE055A01016,2003-06-27,10.0,Realty,false,false,false,false,true,false,true
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,INE404A01024,2021-10-11,5.0,Financial Services,false,false,false,false,true,false,true
ACC,ACC.NS,ACC Limited,EQ,INE012A01025,1996-11-20,10.0,Construction Materials,false,false,false,false,true,true,false
ACCELYA,ACCELYA.NS,Accelya Solutions India Limited,EQ,INE793A01012,1999-12-01,10.0,,false,false,false,false,false,false,false
ACCURACY,ACCURACY.NS,Accuracy Shipping Limited,BE,INE648Z01023,2020-12-11,1.0,,false,false,false,false,false,false,false
